mal_id	rank	title	url	start_date	members	score	source	duration	rating	favorites	rating_count	studio	popularity	global_rank	genres
32281	1	Kimi no Na wa.	https://myanimelist.net/anime/32281/Kimi_no_Na_wa	08-2016	1181184	9.08	Original	1 hr 46 min	PG-13 - Teens 13 or older	55132	783706	CoMix Wave Films	14	7	Romance,Supernatural,School,Drama
28851	2	Koe no Katachi	https://myanimelist.net/anime/28851/Koe_no_Katachi	09-2016	876690	9.02	Manga	2 hr 10 min	PG-13 - Teens 13 or older	41368	552711	Kyoto Animation	48	11	Drama,School,Shounen
15335	3	Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare	https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare	07-2013	137886	8.97	Manga	1 hr 50 min	PG-13 - Teens 13 or older	1761	77667	Sunrise	831	14	Action,Sci-Fi,Comedy,Historical,Parody,Samurai,Shounen
199	4	Sen to Chihiro no Kamikakushi	https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi	07-2001	932862	8.88	Original	2 hr 5 min	PG - Children	20274	643821	Studio Ghibli	40	20	Adventure,Supernatural,Drama
31758	5	Kizumonogatari III: Reiketsu-hen	https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen	01-2017	222082	8.84	Light novel	1 hr 23 min	R - 17+ (violence & profanity)	3142	116154	Shaft	490	22	Action,Mystery,Supernatural,Vampire
164	6	Mononoke Hime	https://myanimelist.net/anime/164/Mononoke_Hime	07-1997	670192	8.76	Original	2 hr 15 min	PG-13 - Teens 13 or older	13923	427435	Studio Ghibli	78	35	Action,Adventure,Fantasy
38329	7	Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai	https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai	06-2019	137019	8.72	Light novel	1 hr 30 min	PG-13 - Teens 13 or older	2187	55207	CloverWorks	840	40	Comedy,Romance,School
12355	8	Ookami Kodomo no Ame to Yuki	https://myanimelist.net/anime/12355/Ookami_Kodomo_no_Ame_to_Yuki	07-2012	483785	8.7	Original	1 hr 57 min	PG - Children	8863	274479	Studio Chizu	154	46	Fantasy,Slice of Life
33049	9	Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly	https://myanimelist.net/anime/33049/Fate_stay_night_Movie__Heavens_Feel_-_II_Lost_Butterfly	01-2019	115588	8.69	Visual novel	1 hr 57 min	R - 17+ (violence & profanity)	1506	43079	ufotable	1001	48	Action,Fantasy,Magic,Supernatural
431	10	Howl no Ugoku Shiro	https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro	11-2004	627632	8.69	Novel	1 hr 59 min	G - All Ages	12790	424859	Studio Ghibli	91	49	Adventure,Drama,Fantasy,Romance
7311	11	Suzumiya Haruhi no Shoushitsu	https://myanimelist.net/anime/7311/Suzumiya_Haruhi_no_Shoushitsu	02-2010	407076	8.69	Light novel	2 hr 42 min	PG-13 - Teens 13 or older	10040	215835	Kyoto Animation	218	51	Comedy,Mystery,Romance,School,Sci-Fi,Supernatural
28957	12	Mushishi Zoku Shou: Suzu no Shizuku	https://myanimelist.net/anime/28957/Mushishi_Zoku_Shou__Suzu_no_Shizuku	05-2015	78727	8.66	Manga	47 min	PG-13 - Teens 13 or older	186	30692	Artland	1401	55	Adventure,Fantasy,Historical,Mystery,Seinen,Slice of Life,Supernatural
